0060011E;Lycée Carnot
0630019D;Lycée Jeanne D'Arc
0573122J;Lycée L'Etoile Du Matin
0680134B;Lycée Don Bosco
0022006V;Lycée Notre Dame Des Victoires
0131327X;Lycée Tour Sainte (De)
0541313J;Lycée Saint Leon IX
0440022K;Lycée Jules Verne
0753859M;Lycée Fides
0753935V;Lycée Georges Leven
0753959W;Lycée Saint-Michel Des Batignolles
0511140M;Lycée St Joseph
0940873N;Inst Du Hameau De Grignon
0100047X;Lycée St Bernard
0260071L;Lycée Saint Victor
0141173Z;Lycée Institut Saint-Jean-Eudes
0810068J;Lycée d'Amboise
0011194T;Lycée De La Plaine De L'Ain
0160003S;Lycée Marguerite De Valois
0931026K;Lycée Protectorat Saint Joseph
0352318E;Lycée Jean Brito
0010069V;Ensemble Scolaire Lamartine
0931613Y;Lycée Louise Michel
0573326F;Lycée Teyssier
0311126F;Lycée Le Ferradou
0332745E;Lycée Jean Monnet
0410676M;Lycée Sainte Marie
0592935V;Lycée La Croix Blanche
0332807X;Acadis
0331498Z;Lycée Du Matin Le Mirail
0331499A;Lycée Notre Dame
0920901E;Ecole d'AGUESSEAU
0622107D;Lycée NAZARETH-HAFFREINGUE
0290010D;Lycée de l'Harteloire
0190058K;Lycée Bossuet
0190011J;Lycée d'Arsonval
0352341E;Lycée St Joseph
0783548H;Lycée Franco-Allemand
0941693E;Foyer Des Ptt
0061243U;Cours Frederic Mistral II
0592938Y;Lycée SAINT-LUC
0061541T;Cours Du Prado
0292137R;Lycée Diwan
0840074Z;Lycée IMMACULEE CONCEPTION
0810071M;Lycée Barral
0810103X;Lycée Notre Dame
0511131C;Charles Peguy
0080006N;Lycée Chanzy
0080082W;Lycée St Paul
0421025L;Lycée Notre Dame
0260062B;Lycée Châteauneuf
0360008N;Lycée Jean Giraudoux
0021870X;Lycée Saint Charles
0501299R;Lycée Thomas-Hélye
0940885B;Lycée Saint Andre
0490831M;Lycée général Sainte-Marie
0631847R;Lycée Massillon
0631076C;Lycée Monanges
0631032E;Institution Saint Pierre
0595616J;Lycée Du Noordover
0500036T;Lycée Julliot De La Morandiere
0061760F;Lycée Alexis De Tocqueville
0060020P;Lycée Amiral De Grasse
0380032D;Lycée Emmanuel Mounier
0381666E;Lycée Pierre Termier
0781949V;Lycée De Villaroy
0671509B;LYCEE DES METIERS CFA HEINRICH-NESSEL
0671602C;Lycée Ste Philomene
0670020H;Lycée Robert Schuman
0590101P;Lycée des Flandres
0593136N;Lycée Saint-Jacques
0560098C;Lycée Notre Dame Du Voeu
0561607T;Lycée Victor HUGO
0140056K;Lycée Albert Sorel
0830025B;Lycée Jean Aicard
0630034V;Lycée Murat
0050003B;Lycée D'Altitude
0772230F;Lycée Blaise Pascal
0831444U;Lycée Sainte Jeanne d'Arc
0271606Z;Lycée professionnel Augustin Boismard
0430003V;Lycée La Fayette
0620056Z;Lycée Carnot
0772292Y;Lycée Martin Luther King
0940580V;Lycée Maximilien Sorre
0142133T;Lycée P. S. De Laplace
0624141P;Lycée Léonard de Vinci
0781860Y;Lycée Les Pierres Vives
0620070P;Lycée Diderot
0951756T;Lycée Jules Verne
